dataset_filter,feature_set,model_type,hyperparameters,feature_count,train_accuracy,validation_accuracy,validation_roc_auc,validation_log_loss,validation_brier_score,test_accuracy,test_roc_auc,test_log_loss,test_brier_score
regular_season_only,era_adjusted_core,LogisticRegression,"{'penalty': 'l2', 'C': 10, 'solver': 'lbfgs', 'class_weight': 'balanced'}",66,0.6858,0.6797,0.7364,0.6012,0.2072,0.685,0.7468,0.5921,0.2034
regular_season_only,era_adjusted_core,LogisticRegression,"{'penalty': 'l2', 'C': 100, 'solver': 'lbfgs', 'class_weight': 'balanced'}",66,0.686,0.6791,0.7363,0.6013,0.2072,0.685,0.7468,0.5921,0.2034
regular_season_only,era_adjusted_core,LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'lbfgs', 'class_weight': 'balanced'}",66,0.6868,0.6774,0.7364,0.6013,0.2072,0.6842,0.7468,0.5919,0.2033
regular_season_only,era_adjusted_core,LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'lbfgs', 'class_weight': 'balanced'}",66,0.6861,0.6785,0.7364,0.6013,0.2072,0.6848,0.7468,0.5921,0.2034
regular_season_only,era_adjusted_diff_only,LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear', 'class_weight': 'None'}",17,0.699,0.6699,0.7347,0.6013,0.2072,0.684,0.7462,0.595,0.204
all_games,regular_all_home_away_diff,LogisticRegression,"{'penalty': 'l1', 'C': 0.01, 'solver': 'liblinear', 'class_weight': 'None'}",196,0.6973,0.6707,0.7318,0.6013,0.2074,0.6798,0.741,0.5949,0.2046
regular_season_only,minimal_strong_diff,RandomForest,"{'n_estimators': 300, 'max_depth': 8}",9,0.7251,0.6631,0.734,0.6013,0.2073,0.6782,0.7442,0.5966,0.2046
all_games,regular_all_home_away_diff,LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'lbfgs', 'class_weight': 'None'}",196,0.6974,0.6806,0.7307,0.6013,0.2074,0.6697,0.7349,0.6057,0.209
regular_season_only,era_adjusted_diff_only,LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'lbfgs', 'class_weight': 'None'}",17,0.6991,0.6699,0.7347,0.6014,0.2073,0.6842,0.7462,0.595,0.204
regular_season_only,percentile_core,RandomForest,"{'n_estimators': 300, 'max_depth': 8}",51,0.7386,0.6661,0.7336,0.6014,0.2074,0.6807,0.7411,0.5983,0.2056
all_games,regular_plus_playoff_context,LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear', 'class_weight': 'None'}",70,0.6983,0.6707,0.7332,0.6014,0.2074,0.6814,0.7409,0.5962,0.2051
regular_season_only,era_adjusted_diff_only,LogisticRegression,"{'penalty': 'l1', 'C': 10, 'solver': 'liblinear', 'class_weight': 'None'}",17,0.6986,0.6702,0.7347,0.6014,0.2073,0.6834,0.7462,0.5951,0.204
